46.7:46.7412758975
46.7:46.7170504025
46.69:46.6924055416
46.66:46.6840771427
46.68:46.6681309169
46.65:46.6829503067
46.64:46.6389981815
46.68:46.6542212605
46.68:46.6930792064
46.69:46.6834332806
46.73:46.7171860041
46.74:46.7532650815
46.73:46.762603946
46.72:46.7440507349
46.69:46.726378444
46.69:46.6779726576
46.7:46.6893994281
46.75:46.7035259977
46.79:46.759593671
46.79:46.8007017532
46.81:46.8017567717
46.81:46.822476673
46.79:46.819519314
46.78:46.8008100327
46.78:46.7846809779
46.79:46.7772381054
46.83:46.7891955382
46.84:46.8373766364
46.84:46.841562569
46.83:46.8408481565
46.83:46.8329182393
46.79:46.8384437237
46.8:46.7876641494
46.76:46.8076691019
46.74:46.7445396498
46.71:46.7377225316
46.71:46.7088240016
46.71:46.7066048445
46.7:46.7102848543
46.71:46.7066365684
46.74:46.716660902
46.77:46.7470366493
46.79:46.7789023507
46.8:46.7961929602
46.79:46.8013636658
46.81:46.7913209221
46.83:46.8098148572
46.8:46.8284710068
46.79:46.7922499983
46.84:46.7929892913
46.8:46.8417870192
46.8:46.7878260535
46.84:46.8131154605
46.84:46.8433728792
46.92:46.8443509506
46.92:46.9555207073
46.92:46.9210874463
46.92:46.9259543199
46.95:46.9259449575
47.03:46.9593792383
47.16:47.054525904
47.23:47.1874381081
47.17:47.2370990304
47.18:47.1613546528
47.21:47.1780444155
47.23:47.2117134208
47.32:47.2317373952
47.31:47.3431788855
47.22:47.2677410495
47.2:47.2013480886
47.22:47.2059107451
47.26:47.2511704128
47.3:47.2742869942
47.29:47.2913299894
47.29:47.2804923567
47.27:47.3112957754
47.24:47.2618022777
47.24:47.2229523666
47.24:47.2417317371
47.22:47.2280957535
47.2:47.2099314777
47.22:47.2099179776
47.23:47.2278500322
47.22:47.2264195576
47.31:47.213562941
47.38:47.330274014
47.39:47.3778942394
47.39:47.3665284755
47.35:47.3667379747
47.28:47.3011524979
47.29:47.2541357823
47.3:47.2865210266
47.31:47.2923787819
47.27:47.3015014815
47.29:47.2684814073
47.26:47.2957600982
47.28:47.2637440492
47.27:47.2857496812
47.29:47.2806365766
47.27:47.2948951432
47.2:47.2746257512
47.1:47.1782155392
47.1:47.1244153174
47.18:47.1158715102
47.23:47.2081640381
47.23:47.2476634437
47.25:47.2324608139
47.27:47.2383476242
47.32:47.250705031
47.27:47.3189084383
47.27:47.2452897064
47.31:47.258681359
47.31:47.3034468043
